rule_id,from_facts,to_fact,interpretation
p-82,f-122,f-93,"Если подходит для ребенка, то жанр сказка"
p-83,f-122,f-88,"Если подходит для ребенка, то жанр приключения"
p-84,f-122,f-87,"Если подходит для ребенка, то жанр фэнтези"
p-85,f-124,f-86,"Если подходит для взрослого, то жанр юмор"
p-86,f-124,f-87,"Если подходит для взрослого, то жанр фэнтези"
p-87,f-124,f-88,"Если подходит для взрослого, то жанр приключения"
p-88,f-124,f-89,"Если подходит для взрослого, то жанр антиутопия"
p-89,f-124,f-90,"Если подходит для взрослого, то жанр реализм"
p-90,f-124,f-91,"Если подходит для взрослого, то жанр исторический"
p-91,f-124,f-92,"Если подходит для взрослого, то жанр драма"
p-92,f-124,f-94,"Если подходит для взрослого, то жанр фантастика"
p-93,f-124,f-137,"Если подходит для взрослого, то жанр детектив"
p-94,f-65,f-71,"Если входит в школьную программу, то автор Лев Толстой"
p-95,f-65,f-72,"Если входит в школьную программу, то автор Иван Тургенев"
p-96,f-65,f-130,"Если входит в школьную программу, то автор Федор Достоевский"
p-97,f-65,f-131,"Если входит в школьную программу, то автор Александр Пушкин"
p-98,f-65,f-132,"Если входит в школьную программу, то автор Михаил Лермонтов"
p-99,f-65,f-133,"Если входит в школьную программу, то автор Николай Гоголь"
p-100,f-66,f-70,"Если не входит в школьную программу, то автор Джоан Ролинг"
p-101,f-66,f-73,"Если не входит в школьную программу, то автор Терри Пратчетт"
p-102,f-66,f-74,"Если не входит в школьную программу, то автор Айзек Азимов"
p-103,f-66,f-75,"Если не входит в школьную программу, то автор Теодор Драйзер"
p-104,f-66,f-76,"Если не входит в школьную программу, то автор Айн Рэнд"
p-105,f-122,f-139,"Если подходит для ребенка, то объем от 100 до 300 страниц"
p-106,f-124,f-139,"Если подходит для взрослого, то объем от 100 до 300 страниц"
p-107,f-124,f-140,"Если подходит для взрослого, то объем от 300 до 600 страниц"
p-108,f-124,f-141,"Если подходит для взрослого, то объем от 600 страниц"
p-109,f-66,f-76,"Если не входит в школьную программу, то автор Айн Рэнд"
p-110,f-66,f-77,"Если не входит в школьную программу, то автор Джек Лондон"
p-111,f-66,f-78,"Если не входит в школьную программу, то автор Дуглас Адамс"
p-112,f-66,f-79,"Если не входит в школьную программу, то автор Джордж Оруэлл"
p-113,f-66,f-80,"Если не входит в школьную программу, то автор Рэй Брэдбери"
p-114,f-66,f-81,"Если не входит в школьную программу, то автор Энтони Бёрджесс"
p-115,f-66,f-82,"Если не входит в школьную программу, то автор Чарльз Диккенс"
p-116,f-66,f-83,"Если не входит в школьную программу, то автор О.Генри"
p-117,f-66,f-84,"Если не входит в школьную программу, то автор Олдос Хаксли"
p-118,f-66,f-85,"Если не входит в школьную программу, то автор Евгений Замятин"
p-119,f-66,f-125,"Если не входит в школьную программу, то автор Артур Конан Дойл"
p-120,f-66,f-127,"Если не входит в школьную программу, то авторы Илья Ильф и Евгений Петров"
p-121,f-66,f-128,"Если не входит в школьную программу, то автор Пелам Вудхаус"
p-122,f-66,f-129,"Если не входит в школьную программу, то автор Джером К. Джером"
p-123,f-66,f-130,"Если не входит в школьную программу, то автор Федор Достоевский"
p-124,f-65,f-134,"Если входит в школьную программу, то автор Сергей Аксаков"
p-125,f-66,f-135,"Если не входит в школьную программу, то автор Ганс Христиан Андерсен"
p-126,f-66,f-136,"Если не входит в школьную программу, то автор Джон Р. Р. Толкин"
p-127,f-106,f-89,"Если в тексте есть восстание, то жанр антиутопия"
p-128,f-107,f-87,"Если в тексте есть магия, то жанр фэнтези"
p-129,f-108,f-89,"Если в тексте есть расслоение общества, то жанр антиутопия"
p-130,f-108,f-90,"Если в тексте есть расслоение общества, то жанр реализм"
p-131,f-108,f-92,"Если в тексте есть расслоение общества, то жанр драма"
p-132,f-109,f-92,"Если в тексте есть предательство, то жанр драма"
p-133,f-109,f-90,"Если в тексте есть предательство, то жанр реализм"
p-134,f-110,f-137,"Если в тексте есть убийство, то жанр детектив"
p-135,f-110,f-91,"Если в тексте есть убийство, то жанр исторический"
p-136,f-110,f-90,"Если в тексте есть убийство, то жанр реализм"
p-137,f-110,f-92,"Если в тексте есть убийство, то жанр драма"
p-138,f-112,f-94,"Если в тексте есть роботы, то жанр фантастика"
p-140,f-114,f-90,"Если в тексте есть животные, то жанр реализм"
p-139,f-114,f-87,"Если в тексте есть животные, то жанр фэнтези"
p-141,f-114,f-93,"Если в тексте есть животные, то жанр сказка"
p-142,f-60,f-87,"Если для хорошего настроения, то жанр фэнтези"
p-143,f-60,f-86,"Если для хорошего настроения, то жанр юмор"
p-144,f-60,f-88,"Если для хорошего настроения, то жанр приключения"
p-145,f-60,f-93,"Если для хорошего настроения, то жанр сказка"
p-146,f-61,f-91,"Если для отвратительного настроения, то жанр исторический"
p-147,f-61,f-92,"Если для отвратительного настроения, то жанр драма"
p-148,f-63,f-93,"Если для новогоднего настроения, то жанр сказка"
p-149,f-63,f-87,"Если для новогоднего настроения, то жанр фэнтези"
p-150,f-64,f-90,"Если для настроения подумать, то жанр реализм"
p-151,f-64,f-89,"Если для настроения подумать, то жанр антиутопия"
p-152,f-64,f-92,"Если для настроения подумать, то жанр драма"
p-153,f-68,f-92,"Если для того, чтобы погрустить, то жанр драма"
p-154,f-68,f-90,"Если для того, чтобы погрустить, то жанр реализм"
p-155,f-68,f-89,"Если для того, чтобы погрустить, то жанр антиутопия"
p-156,f-64,f-92,"Если для настроения подумать, то жанр драма"
p-157,f-60,f-94,"Если для хорошего настроения, то жанр фантастика"
p-158,f-68,f-91,"Если для того, чтобы погрустить, то жанр исторический"
p-159,f-67,f-91,"Если для того, чтобы уснуть, то жанр исторический"
p-160,f-67,f-90,"Если для того, чтобы уснуть, то жанр реализм"
p-161,f-64,f-137,"Если для настроения подумать, то жанр детектив"
p-162,f-67,f-141,"Если для того, чтобы уснуть, то объем от 600 страниц"
f-163,f-121,f-87,"Если для того, чтобы расслабиться, то жанр фэнтези"
f-164,f-121,f-88,"Если для того, чтобы расслабиться, то жанр приключения"
f-165,f-121,f-93,"Если для того, чтобы расслабиться, то жанр сказка"
f-166,f-121,f-94,"Если для того, чтобы расслабиться, то жанр фантастика"
f-167,f-121,f-138,"Если для того, чтобы расслабиться, то объем до 100 страниц"
f-168,f-121,f-139,"Если для того, чтобы расслабиться, то объем от 100 до 300 страниц"
